name,from,to,rating,tv_or_movie,genre,runtime,votes
Love Actually,2003,None,7.6,Movie,comedy,135 min,"413,095"
Atypical,2017,None,8.3,TV,comedy,30 min,"53,024"
The Ballad of Buster Scruggs,2018,None,7.3,Movie,comedy,133 min,"111,375"
Birdman or (The Unexpected Virtue of Ignorance),2014,None,7.7,Movie,comedy,119 min,"559,920"
Silver Linings Playbook,2012,None,7.7,Movie,comedy,122 min,"646,598"
One Punch Man: Wanpanman,2015,None,8.8,TV,comedy,24 min,"103,211"
Hercules,1997,None,7.3,Movie,comedy,93 min,"197,623"
Pitch Perfect,2012,None,7.2,Movie,comedy,112 min,"268,730"
Beetlejuice,1988,None,7.5,Movie,comedy,92 min,"248,864"
Futurama,1999,2013,8.4,TV,comedy,22 min,"207,539"
The Lobster,2015,None,7.2,Movie,comedy,119 min,"206,208"
Private Practice,2007,2013,6.6,TV,comedy,60 min,"21,497"
Long Shot,2019,None,6.8,Movie,comedy,125 min,"83,787"
Weeds,2005,2012,7.9,TV,comedy,28 min,"100,545"
Dead Still,2020,None,6.8,TV,comedy,45 min,289
Hook,1991,None,6.8,Movie,comedy,142 min,"227,315"
Bull,2016,None,7,TV,comedy,60 min,"13,685"
Ant-Man and the Wasp,2018,None,7.1,Movie,comedy,118 min,"289,233"
My Spy,2020,None,6.2,Movie,comedy,99 min,"8,707"
Derry Girls,2018,None,8.4,TV,comedy,30 min,"16,268"
Footloose,2011,None,5.9,Movie,comedy,113 min,"45,180"
Love Wedding Repeat,2020,None,5.5,Movie,comedy,100 min,"13,891"
Vice,2018,None,7.2,Movie,comedy,132 min,"109,250"
Ratatouille,2007,None,8,Movie,comedy,111 min,"618,476"
Inside Out,2015,None,8.1,Movie,comedy,95 min,"584,674"
Vacation,2015,None,6.1,Movie,comedy,99 min,"94,695"
The Intouchables,2011,None,8.5,Movie,comedy,112 min,"728,825"
Freaks and Geeks,1999,2000,8.8,TV,comedy,44 min,"124,648"
Back to the Future Part III,1990,None,7.4,Movie,comedy,118 min,"388,033"
High Fidelity,2020,None,7.6,TV,comedy,None,"4,392"
Dead Poets Society,1989,None,8.1,Movie,comedy,128 min,"405,104"
The Babysitter,2017,None,6.3,Movie,comedy,85 min,"57,279"
Ace Ventura: Pet Detective,1994,None,6.9,Movie,comedy,86 min,"269,838"
As Good as It Gets,1997,None,7.7,Movie,comedy,139 min,"267,671"
Misfits,2009,2013,8.2,TV,comedy,60 min,"89,884"
Girls,2012,2017,7.3,TV,comedy,28 min,"63,712"
Kingsman: The Golden Circle,2017,None,6.7,Movie,comedy,141 min,"257,749"
Tangled,2010,None,7.7,Movie,comedy,100 min,"392,167"
Coming 2 America,2020,None,None,Movie,comedy,None,None
Sing,2016,None,7.1,Movie,comedy,108 min,"127,783"
Man with a Plan,2016,2020,7,TV,comedy,30 min,"7,455"
Little Miss Sunshine,2006,None,7.8,Movie,comedy,101 min,"428,105"
Instant Family,2018,None,7.3,Movie,comedy,118 min,"73,054"
One Piece: Wan pîsu,1999,None,8.7,TV,comedy,24 min,"61,034"
iZombie,2015,2019,7.9,TV,comedy,42 min,"58,099"
El Presidente,2020,None,7.5,TV,comedy,None,391
The 40 Year Old Virgin,2005,None,7.1,Movie,comedy,116 min,"382,678"
Victorious,2010,2013,6.9,TV,comedy,30 min,"18,839"
The Family,2013,None,6.3,Movie,comedy,111 min,"107,350"
About Time,2013,None,7.8,Movie,comedy,123 min,"286,183"
Family Matters,1989,1998,6.6,TV,comedy,30 min,"23,681"
Ghostbusters: Afterlife,2021,None,None,Movie,comedy,None,None
National Lampoon's Animal House,1978,None,7.5,Movie,comedy,109 min,"109,080"
Ted,2012,None,6.9,Movie,comedy,106 min,"558,648"
Tremors,1990,None,7.1,Movie,comedy,96 min,"115,796"
Mary Poppins,1964,None,7.8,Movie,comedy,139 min,"152,776"
Lethal Weapon,2016,2019,7.9,TV,comedy,44 min,"34,200"
Roseanne,1988,2018,7,TV,comedy,21 min,"38,614"
Toy Story,1995,None,8.3,Movie,comedy,81 min,"855,694"
Napoleon Dynamite,2004,None,6.9,Movie,comedy,96 min,"193,315"
Midnight in Paris,2011,None,7.7,Movie,comedy,96 min,"375,103"
Focus,(201,None,6.6,TV,comedy,105 min,"209,202"
Jay and Silent Bob Reboot,2019,None,5.7,Movie,comedy,105 min,"15,352"
Incredibles 2,2018,None,7.6,Movie,comedy,118 min,"234,962"
The Addams Family,1991,None,6.9,Movie,comedy,99 min,"125,657"
Cougar Town,2009,2015,6.9,TV,comedy,22 min,"39,716"
Nanatsu no taizai,2014,None,8.1,TV,comedy,24 min,"18,526"
Mid90s,2018,None,7.4,Movie,comedy,85 min,"41,519"
